Game №1 16.10.2021 03:55 Загаданная строка 4268
Запрос: 1234 Ответ: 1 бык 1 корова
Запрос: 1111 Ответ: 0 быков 0 коров
Запрос: 2222 Ответ: 1 бык 0 коров
Запрос: 3333 Ответ: 0 быков 0 коров
Запрос: 4444 Ответ: 1 бык 0 коров
Запрос: 6247 Ответ: 1 бык 2 коровы
Запрос: 7946 Ответ: 0 быков 2 коровы
Запрос: 0266 Ответ: 2 быка 0 коров
Запрос: 6260 Ответ: 2 быка 0 коров
Запрос: 8263 Ответ: 2 быка 1 корова
Запрос: 3265 Ответ: 2 быка 0 коров
Запрос: 4268 Ответ: 4 быка 0 коров
Строка была отгадана за 12 попыток
Game №2 16.10.2021 04:14 Загаданная строка 3109
Запрос: 1234 Ответ: 0 быков 2 коровы
Запрос: 4256 Ответ: 0 быков 0 коров
Запрос: 3178 Ответ: 2 быка 0 коров
Запрос: 3190 Ответ: 2 быка 2 коровы
Запрос: 3109 Ответ: 4 быка 0 коров
Строка была отгадана за 5 попыток
Game №3 16.10.2021 04:14 Загаданная строка 5646
Запрос: 1234 Ответ: 0 быков 1 корова
Запрос: 4555 Ответ: 0 быков 2 коровы
Запрос: 4568 Ответ: 0 быков 4 коровы
Запрос: 5486 Ответ: 2 быка 1 корова
Запрос: 5846 Ответ: 3 быка 0 коров
Запрос: 5840 Ответ: 2 быка 0 коров
Запрос: 5896 Ответ: 2 быка 0 коров
Запрос: 5346 Ответ: 3 быка 0 коров
Запрос: 5046 Ответ: 3 быка 0 коров
Запрос: 5446 Ответ: 3 быка 0 коров
Запрос: 5546 Ответ: 3 быка 0 коров
Запрос: 5446 Ответ: 3 быка 0 коров
Запрос: 5646 Ответ: 4 быка 0 коров
Строка была отгадана за 13 попыток
Game №4 16.10.2021 04:18 Загаданная строка 8307
Запрос: 1234 Ответ: 0 быков 1 корова
Запрос: 2578 Ответ: 0 быков 2 коровы
Запрос: 2700 Ответ: 1 бык 1 корова
Запрос: 7234 Ответ: 0 быков 2 коровы
Запрос: 0000 Ответ: 1 бык 0 коров
Запрос: 2222 Ответ: 0 быков 0 коров
Запрос: 7777 Ответ: 1 бык 0 коров
Запрос: 7005 Ответ: 1 бык 1 корова
Запрос: 0708 Ответ: 1 бык 2 коровы
Запрос: 8104 Ответ: 2 быка 0 коров
Запрос: 8605 Ответ: 2 быка 0 коров
Запрос: 8703 Ответ: 2 быка 2 коровы
Запрос: 8307 Ответ: 4 быка 0 коров
Строка была отгадана за 13 попыток
Game №5 16.10.2021 04:21 Загаданная строка 3075
Запрос: 1245 Ответ: 1 бык 0 коров
Запрос: 4545 Ответ: 1 бык 0 коров
Запрос: 5555 Ответ: 1 бык 0 коров
Запрос: 7895 Ответ: 1 бык 1 корова
Запрос: 8905 Ответ: 1 бык 1 корова
Запрос: 0005 Ответ: 2 быка 0 коров
Запрос: 0755 Ответ: 1 бык 2 коровы
Запрос: 7005 Ответ: 2 быка 1 корова
Запрос: 8705 Ответ: 1 бык 2 коровы
Запрос: 7805 Ответ: 1 бык 2 коровы
Запрос: 8005 Ответ: 2 быка 0 коров
Запрос: 8075 Ответ: 3 быка 0 коров
Запрос: 8065 Ответ: 2 быка 0 коров
Запрос: 8575 Ответ: 2 быка 0 коров
Запрос: 0705 Ответ: 1 бык 2 коровы
Запрос: 8575 Ответ: 2 быка 0 коров
Запрос: 7075 Ответ: 3 быка 0 коров
Запрос: 5075 Ответ: 3 быка 0 коров
Запрос: 4075 Ответ: 3 быка 0 коров
Запрос: 3075 Ответ: 4 быка 0 коров
Строка была отгадана за 20 попыток
Game №6 16.10.2021 04:26 Загаданная строка 2617
Запрос: 1234 Ответ: 0 быков 2 коровы
Запрос: 3234 Ответ: 0 быков 1 корова
Запрос: 4125 Ответ: 0 быков 2 коровы
Запрос: 2477 Ответ: 2 быка 0 коров
Запрос: 2400 Ответ: 1 бык 0 коров
Запрос: 4777 Ответ: 1 бык 0 коров
Запрос: 2777 Ответ: 2 быка 0 коров
Запрос: 2879 Ответ: 1 бык 1 корова
Запрос: 2700 Ответ: 1 бык 1 корова
Запрос: 2477 Ответ: 2 быка 0 коров
Запрос: 2137 Ответ: 2 быка 1 корова
Запрос: 2817 Ответ: 3 быка 0 коров
Запрос: 2517 Ответ: 3 быка 0 коров
Запрос: 2617 Ответ: 4 быка 0 коров
Строка была отгадана за 14 попыток
Game №7 16.10.2021 04:28 Загаданная строка 4053
Запрос: 1234 Ответ: 0 быков 2 коровы
Запрос: 3421 Ответ: 0 быков 2 коровы
Запрос: 2314 Ответ: 0 быков 2 коровы
Запрос: 2143 Ответ: 1 бык 1 корова
Запрос: 1111 Ответ: 0 быков 0 коров
Запрос: 2435 Ответ: 0 быков 3 коровы
Запрос: 4538 Ответ: 1 бык 2 коровы
Запрос: 4573 Ответ: 2 быка 1 корова
Запрос: 4530 Ответ: 1 бык 3 коровы
Запрос: 4053 Ответ: 4 быка 0 коров
Строка была отгадана за 10 попыток
